Alternative,Jazz,Rock,Folk,Religious,Blues,Heavy Metal,Soundtracks,Dance,Pop,Soul,Rap,Classical,Country
7: Like strongly,3: Dislike a little,5: Like a little,1: Dislike strongly,2: Dislike moderately,4: Neither like or dislike,4: Neither like or dislike,7: Like strongly,7: Like strongly,7: Like strongly,6: Like moderately,6: Like moderately,1: Dislike strongly,4: Neither like or dislike
6: Like moderately,6: Like moderately,7: Like strongly,4: Neither like or dislike,2: Dislike moderately,6: Like moderately,7: Like strongly,5: Like a little,3: Dislike a little,6: Like moderately,4: Neither like or dislike,6: Like moderately,3: Dislike a little,5: Like a little
3: Dislike a little,3: Dislike a little,4: Neither like or dislike,5: Like a little,5: Like a little,6: Like moderately,2: Dislike moderately,6: Like moderately,4: Neither like or dislike,6: Like moderately,6: Like moderately,5: Like a little,4: Neither like or dislike,3: Dislike a little
5: Like a little,7: Like strongly,7: Like strongly,4: Neither like or dislike,5: Like a little,7: Like strongly,7: Like strongly,7: Like strongly,5: Like a little,5: Like a little,5: Like a little,6: Like moderately,7: Like strongly,7: Like strongly
7: Like strongly,7: Like strongly,6: Like moderately,7: Like strongly,5: Like a little,7: Like strongly,1: Dislike strongly,7: Like strongly,6: Like moderately,7: Like strongly,7: Like strongly,1: Dislike strongly,6: Like moderately,7: Like strongly
4: Neither like or dislike,4: Neither like or dislike,5: Like a little,7: Like strongly,7: Like strongly,4: Neither like or dislike,4: Neither like or dislike,7: Like strongly,6: Like moderately,6: Like moderately,6: Like moderately,6: Like moderately,6: Like moderately,6: Like moderately
6: Like moderately,5: Like a little,7: Like strongly,7: Like strongly,6: Like moderately,2: Dislike moderately,3: Dislike a little,5: Like a little,7: Like strongly,6: Like moderately,3: Dislike a little,6: Like moderately,7: Like strongly,4: Neither like or dislike
4: Neither like or dislike,5: Like a little,5: Like a little,7: Like strongly,7: Like strongly,4: Neither like or dislike,6: Like moderately,3: Dislike a little,5: Like a little,2: Dislike moderately,4: Neither like or dislike,1: Dislike strongly,7: Like strongly,5: Like a little
7: Like strongly,6: Like moderately,6: Like moderately,4: Neither like or dislike,4: Neither like or dislike,6: Like moderately,3: Dislike a little,4: Neither like or dislike,4: Neither like or dislike,6: Like moderately,5: Like a little,7: Like strongly,5: Like a little,2: Dislike moderately
7: Like strongly,4: Neither like or dislike,7: Like strongly,6: Like moderately,4: Neither like or dislike,6: Like moderately,7: Like strongly,3: Dislike a little,4: Neither like or dislike,2: Dislike moderately,5: Like a little,6: Like moderately,7: Like strongly,5: Like a little
2: Dislike moderately,3: Dislike a little,2: Dislike moderately,4: Neither like or dislike,4: Neither like or dislike,6: Like moderately,1: Dislike strongly,6: Like moderately,5: Like a little,1: Dislike strongly,6: Like moderately,2: Dislike moderately,7: Like strongly,4: Neither like or dislike
5: Like a little,3: Dislike a little,5: Like a little,3: Dislike a little,5: Like a little,5: Like a little,5: Like a little,5: Like a little,1: Dislike strongly,5: Like a little,5: Like a little,3: Dislike a little,3: Dislike a little,5: Like a little
4: Neither like or dislike,2: Dislike moderately,5: Like a little,3: Dislike a little,4: Neither like or dislike,5: Like a little,2: Dislike moderately,6: Like moderately,7: Like strongly,7: Like strongly,5: Like a little,3: Dislike a little,4: Neither like or dislike,3: Dislike a little
5: Like a little,5: Like a little,3: Dislike a little,5: Like a little,5: Like a little,5: Like a little,4: Neither like or dislike,5: Like a little,4: Neither like or dislike,4: Neither like or dislike,5: Like a little,2: Dislike moderately,7: Like strongly,6: Like moderately
5: Like a little,3: Dislike a little,3: Dislike a little,4: Neither like or dislike,5: Like a little,3: Dislike a little,1: Dislike strongly,6: Like moderately,6: Like moderately,6: Like moderately,4: Neither like or dislike,7: Like strongly,4: Neither like or dislike,5: Like a little
6: Like moderately,5: Like a little,7: Like strongly,5: Like a little,4: Neither like or dislike,7: Like strongly,7: Like strongly,7: Like strongly,6: Like moderately,6: Like moderately,5: Like a little,6: Like moderately,7: Like strongly,5: Like a little
5: Like a little,5: Like a little,7: Like strongly,5: Like a little,7: Like strongly,4: Neither like or dislike,5: Like a little,4: Neither like or dislike,5: Like a little,6: Like moderately,7: Like strongly,5: Like a little,3: Dislike a little,7: Like strongly
5: Like a little,6: Like moderately,6: Like moderately,4: Neither like or dislike,3: Dislike a little,4: Neither like or dislike,5: Like a little,4: Neither like or dislike,5: Like a little,7: Like strongly,3: Dislike a little,6: Like moderately,3: Dislike a little,7: Like strongly
3: Dislike a little,4: Neither like or dislike,1: Dislike strongly,5: Like a little,4: Neither like or dislike,4: Neither like or dislike,1: Dislike strongly,6: Like moderately,7: Like strongly,7: Like strongly,6: Like moderately,1: Dislike strongly,5: Like a little,6: Like moderately
4: Neither like or dislike,6: Like moderately,7: Like strongly,4: Neither like or dislike,7: Like strongly,6: Like moderately,5: Like a little,6: Like moderately,6: Like moderately,7: Like strongly,6: Like moderately,6: Like moderately,4: Neither like or dislike,5: Like a little
